project,city,state
neighborhood dev prog,syracuse,ny
medical center no 2,memphis,tn
campus view,jefferson city,mo
east crystal no 1,crystal city,tx
code enforcement proj,charlotte,nc
demostration project,new brunswick,nj
marcy-washington sts,portsmouth,nh
lincoln park no 1,chicago,il
certified area prog,monessen,pa
kaighns point,camden,nj
spokane civic center,spokane,wa
lake front,lake charles,la
community renewal prog,warren,mi
hogans creek,jacksonville,fl
compton cbd,compton,ca
beach redevel area,santa cruz,ca
staley high school,americus,ga
el cibao,cabo rojo,pr
san antonio plaza,san jose,ca
blossburg dis area,blossburg,pa
albany st,new brunswick,nj
community renewal prog,kansas city,ks
mid-town west no 1,gary,in
warnersville no 11a,greensboro,nc
downtown dover no 1,dover,nh
neighborhood dev prog,lewiston,me
community renewal prog,middletown,ct
neighborhood dev prog,north platte,ne
elberton st,elberton,ga
neighborhood dev center,mercedes,tx
community renewal prog,mahoning county,oh
central maple shade,maple shade,nj
raupp (gn),lincoln park,mi
south end (gn),albany,ny
beacon st,los angeles,ca
tobie grant (gn),dekalb county,ga
southeast fayetteville,fayetteville,nc
kenyon-barr (gn),cincinnati,oh
north project,albany,ny
general ngh area no 1,spartanburg,sc
project two,bridgeton,nj
the plains,lawrence,ma
code enforcement proj,imperial beach,ca
neighborhood dev prog,belle glade,fl
douglas-lawndale (mc),chicago,il
code enforcement proj,portland,me
courtland st,east stroudsburg,pa
south central a,springfield,mo
northside,south pittsburg,tn
pike plaza,seattle,wa
greenburgh u r area,greenburgh,ny
central bus dist no 2,youngstown,oh
state st,new haven,ct
market plaza,north little rock,ar
neighborhood dev prog,tuskegee,al
logan ave,waterloo,ia
lake st-california ave,chicago,il
medical center,birmingham,al
battery park,new york,ny
tyler park (gn),paducah,ky
brackenridge project,brackenridge,pa
tuckahoe,tuckahoe,ny
watts (gn),los angeles,ca
cerritos college,norwalk,ca
downtown bonner springs,bonner springs,ks
central,hope,ar
central bus dist (gn),youngstown,oh
community renewal prog,tucson,az
project b,savannah,ga
n w temple-tmpl u no 3,philadelphia,pa
neighborhood dev prog,tempe,az
interim asst prog,lockhart,tx
neighborhood dev prog,winooski,vt
state st (gn),wilkes barre,pa
code enforcement proj,lorain,oh
fairview,olathe,ks
toomer st,opelika,al
los colericos,arecibo,pr
concordia-marina,mayaguez,pr
arkansas heights,marianna,ar
murray industrial park,chelsea,ma
neighborhood dev prog,new castle,pa
community renewal prog,east hartford,ct
community renewal prog,elmira,ny
egmont,savannah,ga
tompkins st,pittston,pa
center,derby,ct
belden ur area,jackson,mi
northside (gn),bowling green,ky
eastside,south pittsburg,tn
demolition project,north adams,ma
neighborhood dev prog,lawton,ok
wright st,wilkes barre,pa
north flate ura,sharon,pa
code enforcement proj,tampa,fl
west slauson ave,maywood,ca
neighborhood dev prog,malvern,ar
south bell st,dothan,al
university city no 5,philadelphia,pa
western,saint paul,mn
neighborhood dev prog,minneapolis,mn
summer street,union city,tn
industrial park,salem,nj
redevelopment no 2,santa maria,ca
west fresno (gn),fresno,ca
downtown waterfront,washington,nc
stanislaus st (fs),riverbank,ca
community renewal prog,new bedford,ma
central area,sharpsville,pa
erieview no 1,cleveland,oh
holladay ngh no 1,tucson,az
jefferson plaza,batavia,ny
northwest downtwn (fs),fort lauderdale,fl
community renewal prog,lynn,ma
neighborhood dev prog,osceola,ar
union st,danville,va
twelfth and vine,kansas city,mo
queen liliuokalani (fs),honolulu,hi
transportation plaza (fs),atlanta,ga
argentine heights,kansas city,ks
neighborhood dev prog,flint,mi
park center,alameda,ca
east dayton,dayton,oh
center of lebanon no 2,lebanon,pa
jackson ave,oxford,ms
central business dist,fenton,mi
atkins ave,neptune twp,nj
demolition project,fitchburg,ma
community renewal prog,bradford,pa
central business dist,piedmont,al
neighborhood dev prog,steubenville,oh
code enforcement proj,denver,co
central bus dist (gn),montgomery,al
community renewal prog,hayward,ca
neighborhood dev prog,davenport,ia
springvale,sanford,me
northwest,washington,dc
southeast no 1,newnan,ga
south branch,rahway,nj
devargas,santa fe,nm
military heights,north little rock,ar
riverside drive,easton,pa
neigborhood dev prog,detroit,mi
forest park no 2,detroit,mi
southwest,terre haute,in
cbd redevel proj,santa monica,ca
south meadows,east hartford,ct
hospital park (fs),denver,co
duke st,lancaster,pa
douglasville,bay minette,al
neighborhood dev prog,selma,nc
smethport flood dis,smethport,pa
state st,erie,pa
neighborhood dev prog,nashville,tn
north industrial park,wichita,ks
eddy no 2,saginaw,mi
code enforcement proj,lexington,ky
neighborhood dev prog,artesia,nm
cote brillante,saint louis,mo
code enforcement proj,san marcos,tx
mount royal plaza,baltimore,md
beacon hill no 2,decatur,ga
central (fs),hallowell,me
southside,lebanon,pa
government hill no 1,anchorage,ak
medical center expansn,birmingham,al
central bus area (fs),fairfield,al
beach front,san buenaventura,ca
warren st,wilson,nc
downtown,saint paul,mn
demolition project,steubenville,oh
holmes,minneapolis,mn
community renewal prog,lucas county,oh
town center,martin,ky
rogers block,cambridge,ma
manual,kansas city,mo
hare,auburn,al
municipal area,pascagoula,ms
pershing-cottage grove,chicago,il
winston st,huntsville,al
winthrop,new london,ct
prairie-middlesbury,elkhart,in
neighborhood dev prog,schenectady,ny
community renewal prog,san juan,pr
central gnrp,hope,ar
hyde park-kenwood,chicago,il
east newburgh,newhurgh,ny
bennington park,freeport,ny
demolition project,new castle,pa
gates house,york,pa
demolition project,minneapolis,mn
code enforcement proj,ann arbor,mi
hospital hill,kansas city,mo
davis ave,cleveland,ms
van block ave,harford,ct
northside (gn),portsmouth,va
neighborhood dev prog,shawnee,ok
bruce st,picayune,ms
central bus dist,flint,mi
community renewal project,paterson,nj
neighborhood dev prog,oil city,pa
northside no 1,mishawaka,in
rifle st,springfield,ma
beersheba heights,mcminnville,tn
central waterfrnt gn),new bedford,ma
tompkins square,new york,ny
code enforcement proj,new york,ny
westside no 1,newnan,ga
neighborhood dev prog,east providence,ri
upper falls,rochester,ny
avondale site c,birmingham,al
hollywood,salem,or
washington no 1,greensboro,nc
twin branch consrvn,mishawaka,in
home acres,evansdale,ia
community renewal prog,newport,ri
neighborhood dev prog,york,pa
lawrenceville dis area,lawrenceville,pa
medical center,memphis,tn
downtown-big r cr (fs),lewisburg,tn
coalport,trenton,nj
neighborhood dev prog,santa barbara,ca
stillwater park,bangor,me
neighborhood dev prog,mcalester,ok
central bus dist,south haven,mi
garfield,kansas city,mo
washington st,baxley,ga
old town,osceola,ar
community renewal prog,crystal city,tx
south platte riv (fs),denver,co
riverview,yonkers,ny
del almo (gn),san antonio,tx
neighborhood dev prog,cheyenne,wy
central sioux cty (gn),sioux city,ia
lakeland-west,college park,md
eagle,artesia,nm
east market st,lewistown,pa
beaver pond (gn),bluefield,wv
johnson st,marietta,ga
neighborhood dev prog,baton rouge,la
code enforcement proj,newark,nj
southwick,louisville,ky
town center no 1,hull,ma
downtown no 1,franklin,va
code enforcement proj,florence,al
river run (gn),boonton,nj
greenville mc,charlotte,nc
a st,chesapeake,va
moore-river sts,hackensack,nj
thomasville,atlanta,ga
selby-dale (gn),saint paul,mn
bloomsburg dis area,bloomsburg,pa
community renewal prog,woodbridge twp,nj
demolition project,syracuse,ny
east poplar no 3,philadelphia,pa
turner,hammond,in
walnut site,reading,pa
downtown no 1,portland,me
southwest temple 4 and 6,philadelphia,pa
center wheeling,wheeling,wv
south-end renewal,hamtramck,mi
dickerson,laurel run,pa
project no 2,tarentum,pa
tarneberg ross estate,charlotte amalie,vi
north webster groves,webster groves,mo
fifth st,west point,ms
community renewal prog,glassboro,nj
colonial fort plaza,franklin,pa
market-broadway,nanticoke,pa
