project,city,state
mainland (gn),daytona beach,fl
south flats no 3,sharon,pa
central city,rolla,mo
gallows hollow,clarksville,tn
demolition project,holyoke,ma
mount royal-fremont no 1,baltimore,md
bergen square no 1,camden,nj
university (gn),madison,wi
chase park,toledo,oh
neighborhood dev prog,tupelo,ms
south san project 1,san antonio,tx
east view gn,ottumwa,ia
western gateway,rochester,ny
salamanca redev 2,salamanca,ny
cp station,fort fairfield,me
community renewal prog,san antonio,tx
interim asst prog,new orleaans,la
seward park,new york,ny
community renewal prog,chester,pa
northwest rehab,tallapcosa,ga
glenwood (gn),winder,ga
park row ext,new york,ny
downtown,ozark,al
downtown area,kodiak,ak
southwest temple,philadelphia,pa
elm-cottage,barre,vt
midtown (gn),potsdam,ny
vine-deer-chatham,portland,me
gregby no 1,green bay,wi
a s clarke,cordele,ga
neighborhood dev prog,wisconsin rapids,wi
central city,sheboygan,wi
hospital,new kensington,pa
central indiana,indiana,pa
oceanport (fs),oceanport,nj
southwest acres (gn),marianna,ar
near west side,chicago,il
area d,worcester,ma
riverfront commercial ur area,frankfort,ky
well st,decatur,al
pearl st,elizabeth,nj
neighborhood dev prog,ottumwa,ia
university,starkville,ms
water st,meadville,pa
bowtie,woodbridge twp,nj
essex heights stage 2,newark,nj
front street (fs),beaufort,nc
downtown erie,erie,pa
front st sec b,harford,ct
south marion,marion,in
central bloomington,bloomington,il
community renewal prog,manchester,nh
school st (gn),glen cove,ny
central bus dist no 1,lawton,ok
central bus dist (fs),compton,ca
garrett st,charlottesville,va
boylston-essex,boston,ma
san ciriaco,humacao,pr
wooster square,new haven,ct
neighborhood dev prog,mechanicville,ny
mid-town west (gn),gary,in
gen gm dodge civic ctr,cheyenne,wy
lower main st,rahway,nj
neighborhood dev prog,bainbridge twp,oh
towers (gn),los angeles,ca
columbia,mayaguez,pr
73rd-dobson,chicago,il
collier twp area (fs),collier twp,pa
neighborhood dev prog,dade county,fl
neighborhood dev prog,macon,ga
central miami,miami,fl
project o,huntington,wv
upton,baltimore,md
neighborhood dev prog,moulton,al
court st,watertown,ny
butler st,atlanta,ga
eastshore park,richmond,ca
venroy-merriam,wayne,mi
warnersville (gn),greensboro,nc
fuller,elyria,oh
northgate,san pablo,ca
crozer manor dis area,chester,pa
fourth st,cullman,al
borough center no 1,south plainfield,nj
fort st,port huron,mi
baylor no 1b,waco,tx
kalispell ngh fs,kalispell,mt
demolition project,middletown,oh
community renewal prog,alma,mi
ridge center,glens falls,ny
fifth ave,hibbing,mn
memorial plaza,saint louis,mo
demolition project,toledo,oh
fort nelson,portsmouth,va
community renewal prog,salina,ks
diamond,scranton,pa
harrison-halsted,chicago,il
model ngh no 2,erie,pa
medical center,mcalester,ok
hill high school,new haven,ct
saint vincents center,cleveland,oh
code enforcement proj,san gabriel,ca
marsh,brookline,ma
richland ave,waverly,tn
community renewal prog,springfield,ma
demolition project,ossining,ny
east jefferson,phoenix,az
east woodland,cleveland,oh
clinton park,oakland,ca
harbor st,lynn,ma
downtown,ansonia,ct
downtown tacoma (gn),tacoma,wa
lakeview,grand prairie,tx
demolition project,columbus,oh
central bus dist,carroll,ia
interim asst prog,san juan,pr
goodale,columbus,oh
washington heights,washington,nc
demonstration project,trenton,nj
north hill no 1,springfield,oh
harlem park no 2,baltimore,md
west oakland (gn),oakland,ca
east arterial indus,utica,ny
capitiol plaza,topeka,ks
neighborhood dev prog,richland,mo
main st,north adams,ma
north vine st,saint bernard,oh
concord st (gn),south saint paul,mn
industrial site,akron,oh
area no 1,springfield,il
marin city,marin county,ca
demonstration project,philadelphia,pa
code enforcement proj,indianapolis,in
community renewal prog,bloomington,il
neighborhood dev prog,memphis,tn
community renewal prog,saint paul,mn
kaiko'o,hilo,hi
catskill gateway (gn),monticello,ny
neighborhood dev prog,jersey city,nj
neighborhood dev prog,eugene,or
neighborhood dev prog,neodesha,ks
baker st,media,pa
druid city hospital,tuscaloosa,al
oak ridge (gn),des moines,ia
disaster area,richmond,in
main street,franklin,tn
neighborhood dev prog,scottsboro,al
oak st,buffalo,ny
central rocky mount (fs),rocky mount,nc
63rd-dorchester,chicago,il
neighborhood dev prog,troy,al
freehold center,freehold,nj
certified area prog,portland,or
geo wash,washington,dc
van born industrial,dearborn heights,mi
valley st,north tarrytown,ny
community renewal project,syracuse,ny
project no 1,river rouge,mi
community renewal prog,youngstown,oh
southside flats,scranton,pa
brackenridge,austin,tx
project no 1,norfolk,va
fulton park,new york,ny
parket-bennett school,bowling green,ky
south flagstaff,flagstaff,az
6c area,chicago,il
code enforcement proj,mansfield,oh
central no 1,springfield,il
southwest,statesville,nc
uptown,chicago,il
mcpherson ave,nashville,ga
east senatobia,senatobia,ms
neighborhood dev prog,pittsburgh,pa
community renewal prog,providence,ri
syracuse hill,syracuse,ny
new market,painesville,oh
riverside,rochester,nh
kauluwela,honolulu,hi
newark midtown,newark,ny
s w industrial park,augusta,ks
interim asst prog,akron,oh
interim asst prog,west pittson,pa
edgehill,nashville,tn
wyoming-eight mile,detroit,mi
pepper,pasadena,ca
central andover,andover,ma
mecca vineyards,indio,ca
28th st edgemont,susqhehanna twp,pa
neighborhood dev prog,ada,ok
castanea dis area,castanea twp,pa
code enforcement proj,harford,ct
wellington-harrington,cambridge,ma
community renewal prog,passaic,nj
northside no 1,waycross,ga
rosemont,norfolk,va
interim asst prog,pittsburg,ca
community renewal prog,independence,mo
catanito,carolina,pr
center business plaza,oneonta,ny
downtown redevelopment,muskegon,mi
university,portsmouth,oh
avondale,ashland,ky
dodge park,mishawaka,in
central west no 1,san antonio,tx
west end,camilla,ga
rochester hospital,rochester,pa
indian trail no 2,jefferson county,ky
downtown no 1,dover,oh
neighborhood dev prog,saginaw,mi
riperas del cano,san juan,pr
area no 1 (fs),akron,oh
clinton ave,albany,ny
demolition project,chicago,il
neighborhood dev prog,little rock,ar
central square,stoneham,ma
37th-cottage grove,chicago,il
community renewal prog,rock springs,wy
northend,plattburgh,ny
brazos,waco,tx
hill no 1,new haven,ct
la playa no 2 and no 3,arecibo,pr
community renewal prog,bridgeton,nj
riverview section,poughkeepsie,ny
southwest c,washington,dc
quinn park rehab area,clinton,mi
kealing (thomas jeffsn),austin,tx
east pasco,pasco,wa
courthouse square,prestonsburg,ky
university of sc ext 2,columbia,sc
warner-robins gnr area,warner robins,ga
washington no 2,greensboro,nc
heartland industrial,sweetwater,tn
eastchester,anchorage,ak
certified area prog,lawton,ok
saw mill run,norristown,pa
city-university no 2,iowa city,ia
central bus dist (fs),conyers,ga
south bessemer,bessemer,al
danville dis area,connellsville,pa
main st,hazard,ky
east end,oil city,pa
community renewal prog,san joaquin county,ca
redondo plaza,redondo beach,ca
new point road,elizabeth,nj
saint joseph hospital,mishawaka,in
central bus dist,haleyville,al
northeast,north ridgeville,oh
hickory st,springfield,ma
clipper city no 1,manitowoc,wi
savin rock no 1,west haven,ct
willard center no 1,providence,ri
code enforcement proj,new london,ct
eastern central (gn),mayaguez,pr
neighborhood dev prog,baltimore,md
fort lincoln,washington,dc
neighborhood dev prog,wilmington,de
area no 1,middletown,ny
columbus circle coliseum,new york,ny
neighborhood dev prog,anderson,in
saint josephs,philadelphia,pa
southside gnr area gn,portsmouth,va
state st no 1,wilkes barre,pa
east winston no 2,winston-salem,nc
community renewal prog,easton,pa
new elmira,elmira,ny
sixth st,waynesboro,ga
warnersville no 1,greensboro,nc
state-pershing,chicago,il
court st,reading,pa
muncie bluffs (fs),kansas city,ks
playland renewal area,rye,ny
civic center,pine bluff,ar
lacasse park,claremont,nh
central bus dist,holly springs,ms
community renewal prog,decatur,al
code enforcement proj,newton,ma
lower neshannook creek,new castle,pa
charles st,waterville,me
south dalworth,grand prairie,tx
speedway,trumann,ar
code enforcement proj,salt lake city,ut
area no 1,port chester,ny
neighborhood dev prog,norfolk,va
demonstration project,berkeley,ca
canal st no 1,easton,pa
neighborhood dev prog,harrisburg,pa
community renewal prog,boston,ma
neigborhood dev prog,holyoke,ma
community renewal prog,woonsocket,ri
rhea town no 2,morristown,tn
el ensanche,juncos,pr
panola heights no 1,tarboro,nc
market mohawk,columbus,oh
community renewal prog,new haven,ct
callowhill east,philadelphia,pa
east river,new york,ny
southside,atchison,ks
south sixth st,steubenville,oh
community renewal project,fall river,ma
neighborhood dev center,lubbock,tx
downtown,amory,ms
demonstration project,minneapolis,mn
downtown business area,vernon,ct
central (gn),mansfield,oh
interchange area,flint,mi
highland pk - pierce ave,topeka,ks
monongahela bus dist,monongahela,pa
code enforcement proj,maryville,tn
old hampton,hampton,va
broad st,newark,nj
community renewal prog,washington,dc
code enforcement proj,key west,fl
keuka lake outlet,penn yan,ny
project no 1,maywood,il
code enforcement proj,albuquerque,nm
first ave,hibbing,mn
north industrial,detroit,mi
neighborhood dev prog,sioux falls,sd
hayti-elizabth st no 3,durham,nc
ninth st,new kensington,pa
raupp no 2,lincoln park,mi
neighborhood dev prog,masontown,pa
downtown coatesville,coatesville,pa
museum of natural history,new york,ny
northampton heights,bethlehem,pa
river road proj,lower merion township,pa
first ward,charlotte,nc
hook road no 2,darby twp,pa
code enforcement proj,hamilton,oh
central business,traverse city,mi
saint johns hospital,springfield,il
el guayabal,san sebastian,pr
hoolulu,honolulu,hi
neighborhood dev prog,tacoma,wa
merrill scholl,pine bluff,ar
town center,clinton,tn
wintonbury-park,bloomfield,ct
westside indus no 2,detroit,mi
south jackson ur area project 1,jackson,tn
code enforcement proj,boise,id
east end,newport news,va
area no 1,chelsea,ma
del monte heights,seaside,ca
lincoln,kalamazoo,mi
narragansett pier,narragansett,ri
doddtown,east orange,nj
community renewal prog,waterbury,ct
neighborhood dev prog,knoxville,tn
florida ave,union city,tn
manchester,pittsburgh,pa
plan no 1,owensboro,ky
central parkway south,kalamazoo,mi
community renewal prog,dayton,oh
community renewal prog,yale,ok
water gut,christiansted,vi
univeristy park (fs),little rock,ar
east dedham sq (gn),dedham,ma
east poplar,philadelphia,pa
neighborhood dev prog,springfield,mo
hopewell,chester,pa
code enforcement proj,wilkes barre,pa
neighborhood dev prog,pine bluff,ar
south harrisburg (fs),harrisburg,pa
west end,rockville centre,ny
nato no 1 area,erie,pa
neighborhood dev prog,albany,ga
central bus dist no 1,williamsport,pa
woodland,kansas city,mo
union,schenectady,ny
queen st,lancaster,pa
code enforcement proj,south bend,in
buena vista,salinas,ca
penn villas,riverview,mi
project no 1,center line,mi
mothers day shrine,grafton,wv
gillfield no 1,petersburg,va
southeastern no 1,newnan,ga
homestead,homestead,pa
kendall square,cambridge,ma
northeast indus park,salina,ks
south end,ambridge,pa
community renewal prog,norwalk,ct
frash pond,stratford,ct
community renewal prog,jackson,mi
neighborhood dev prog,deklab,il
n w temple-tmpl u no 1,philadelphia,pa
lakeland,college park,md
lake view,barberton,oh
community renewal prog,warnick,ri
southeastern (gn),newnan,ga
grand river,grand rapids,mi
the hollows,morristown,nj
seward (gn),minneapolis,mn
hayti-elizabth st no 4,durham,nc
el molino,san marcos,tx
water st a,pottstown,pa
neighborhood dev center,san marcos,tx
huron center,huron,oh
park,dekalb county,ga
interim asst prog,tampa,fl
community renewal prog,los angeles county,ca
elcee,manchester,nh
railroad relocation,providence,ri
neighborhood dev prog,riverside,ca
high st,hazard,ky
east winston no 1,winston-salem,nc
code enforcement proj,worcester,ma
ocean ave,revere,ma
salina,saginaw,mi
civic center,wilmington,de
code enforcement proj,north las vegas,nv
core ur area,sapulpa,ok
st joseph center 1,saint joseph,mo
grant st-goodyear,decatur,al
hanover st,martins ferry,oh
convention center,winston-salem,nc
vine st west,hazleton,pa
mulberry run,wilmington,de
brooklyn area,charlotte,nc
central city east,los angeles,ca
hobo jungle,texarkana,ar
midtown,bayonne,nj
lakewood,waterbury,ct
hilltop (fs),kansas city,ks
crosstown,lawrenceville,ga
magnolia gardens,bristol twp,pa
central queen cty (gn),mercedes,tx
watchung ave,plainfield,nj
neighborhood dev prog,montgomery county,md
pentucket,haverhill,ma
reading dis area,reading,pa
neighborhood dev prog,austin,mn
nine mile industrial,saint clair shores,mi
neighborhood dev prog,elk city,ok
neigborhood dev prog,akron,oh
westrock,little rock,ar
code enforcement proj,muskegon heights,mi
united hospitals,newark,nj
demolition project,duluth,mn
lincoln ngh no 1,carbondale,il
peach st,paintsville,ky
marquette,milwaukee,wi
demolition project,lancaster,pa
el hoyo,cayey,pr
demolition project,muskegon,mi
interim asst prog,luzerne bor,pa
hoover survey,los angeles,ca
bunker hill,paterson,nj
myrtle - walnut beach proj,milford,ct
neighborhood dev prog,kingsport,tn
cameron s dis area,harrisburg,pa
neighborhood dev prog,stillwater,ok
interim asst prog,atlanta,ga
prosper street,palaika,fl
glen oaks,austin,tx
downtown two,portland,me
main st,clinton,tn
neighborhood dev prog,charleston,mo
north cedar ave,south pittsburg,tn
foggy bottom,washington,dc
central greenville,greenville,ms
montoursville dis area,montoursville,pa
washington sq e no 1,philadelphia,pa
spring st,luverne,al
demonstration project,boston,ma
muscatine no 1,muscatine,ia
center for the arts,philadelphia,pa
demolition project,punxsutawney,pa
noble-division,chicago,il
cookes renewal,york,pa
project no 2,newport,ky
engine st,prichard,al
prehm addition,joplin,mo
homer (fs),homer,ak
avondale neighborhood,denver,co
west fresno no 2,fresno,ca
north fort,lincoln park,mi
project 1,vancouver,wa
washington park,union city,nj
north hill (gn),springfield,oh
so bklyn waterfrt (fs),new york,ny
project no. 1,des moines,ia
sinajana ur area,sinajana,gu
downtown,joplin,mo
south end,waterbury,ct
garfield,middletown,oh
hammels-rockaway,new york,ny
barriada vieques,cayey,pr
kittredge square,boston,ma
eddy,saginaw,mi
code enforcement proj,jackson,ms
court ave no 3,memphis,tn
erie boulevard south,rome,ny
dunabr plaza,dunbar,wv
brownsville,new york,ny
community renewal prog,fort wayne,in
grays ferry,philadelphia,pa
lead pencil,hoboken,nj
demolition project,pawtucket,ri
wyoming dis area,wyoming,pa
north central,chester,pa
neighborhood dev prog,wheeling,wv
court ave no 111,memphis,tn
joplin southeast (gn),joplin,mo
triangle,madison,wi
community renewal prog,lackawanna,ny
pacific ave,wildwood,nj
neighborhood dev prog,new iberia,la
jackson st,paterson,nj
fenway,boston,ma
community renewal prog,bloomfield,nj
code enforcement proj,middletown twp,pa
central dunsmuir,dunsmuir,ca
railroad ave,memphis,tn
capitol park ur,tuscaloosa,al
project no 1,hudson,ny
north terminal,new bedford,ma
demonstration project,providence,ri
west hampton gn,hampton,va
central indus dist fs,kansas city,mo
northside consrvn no 5,portsmouth,va
demolition project,jamestown,ny
beach front,ventura city,ca
high st,taunton,ma
community renewal prog,brockton,ma
lasalle school consrvn,mishawaka,in
central (gn),winston-salem,nc
court sqaure,springfield,ma
demolition project,monongahela,pa
gladstone,cleveland,oh
old turnpike ur proj,pleasantville,nj
downtown,atchison,ks
pleasant run,charlestown,in
first south side,bethlehem,pa
code enforcement proj,walhalla,nd
neighborhood dev prog,buffalo,ny
community renewal prog,selma,al
dixonville area,salisbury,nc
central state,edmond,ok
madison-park south,baltimore,md
renovo dis area,renovo,pa
demolition project,cincinnati,oh
code enforcement proj,grand prairie,tx
perrin plaza,fairport,ny
demonstration project,rock springs,wy
center punch,hamilton,oh
downtown,blytheville,ar
west crane ave,valdosta,ga
erieview (gn),cleveland,oh
central,wink,tx
port arthur heights,port arthur,tx
city of glen cove gnrp,glen cove,ny
longwood project,cleveland,oh
central bus dist,quakertown,pa
philander smith,little rock,ar
phoebus,hampton,va
highland gnr area no 1,gastonia,nc
downtown,lithonia,ga
west side area,chattanooga,tn
kings highway,fairfield,ct
north elston,chicago,il
parnassus triangle,new kensington,pa
riverpark medical-univ,chattanooga,tn
14 mile - whitcomb,madison heights,mi
shepaug river,washington,ct
schuykill haven dis,schuylkill haven,pa
neighborhood dev prog,lyons,ks
catawissa dis area,catawissa bor,pa
neighborhood dev prog,warren,mi
60th-cottage grove,chicago,il
neighborhood dev prog,marshall,mo
code enforcement proj,newhurgh,ny
medical center no 3,memphis,tn
hoffers,mansfield,oh
neighborhood dev prog,kansas city,ks
neighborhood dev prog,norton,va
city hall,poughkeepsie,ny
canalview,fulton,ny
certified area prog,bloomington,in
eagle heights,harrison,ar
lakeland-east,college park,md
college st,union city,tn
dickson st,glen cove,ny
savin rock (gn),west haven,ct
savin rock no 2,west haven,ct
dorchester (gn),boston,ma
north highland street,winchester,ky
government square,charleston,wv
central bus dist,big rapids,mi
walnut grove (gn),lexington,tn
dupont st,wilmington,de
eddy (gn),saginaw,mi
uniontown flood dis area,uniontown,pa
mount royal-fremont (gn),baltimore,md
saint johns,jersey city,nj
island,schuylkill haven,pa
north central gn,holly springs,ms
myrtle - walnut beach area,milford,ct
neighborhood dev prog,pontotoc,ms
interim asst prog,fayetteville,ar
project no.1,calexico,ca
code enforcement proj,saint louis,mo
flosden acrea,vallejo,ca
code enforcement proj,dallas,tx
central germantown,philadelphia,pa
east side,providence,ri
central paterson (gn),paterson,nj
charles center,baltimore,md
city center,auburn,ny
municipal center (gn),flint,mi
central bus dist no 1,youngstown,oh
public center,tuscon,ar
north fifth st,guin,al
rockdale,atlanta,ga
mount vernon,baltimore,md
main st,fell twp,pa
gratiot,detroit,mi
educational center,norfolk,va
washington sq w no 1,philadelphia,pa
south flats no 1,sharon,pa
west michigan st,duluth,mn
west end (gn),salisbury,nc
riverside mall,pittsburg,ca
redevel project a,mendota,ca
community renewal project,hempstead town,ny
code enforcement proj,detroit,mi
ridge st,danville,va
washington sq w,philadelphia,pa
interim asst prog,edwardville borough,pa
demonstration project,washington,dc
washington st,monroe,ga
code enforcement proj,pountlake terrace,wa
haddington unit no 1,philadelphia,pa
cairo (fs),roosevelt city,al
willamette,salem,or
neighborhood dev prog,elmira,ny
neigborhood dev prog,niles,oh
code enforcement proj,poughkeepsie,ny
neighborhood dev prog,xenia,oh
lanning square no 1,camden,nj
neighborhood asst prog,alice,tx
lincoln park (gn),chicago,il
main st,hartselle,al
west st,holly springs,ms
eastwick,philadelphia,pa
campau commons (gn),grand rapids,mi
project no 1,manchester,ct
madision-park north,baltimore,md
neighborhood dev prog,new bedford,ma
community renewal prog,minneapolis,mn
third st,springfield,or
marina vista,vallejo,ca
lafayette-garfield (fs),mexico,mo
code enforcement proj,honolulu,hi
neighborhood dev prog,galena,ks
downtown shopping ctr,marquette,mi
neighborhood dev prog,burlington,nj
northside no 1,palaika,fl
farmington ave,farmington,ct
milton st,lavonia,ga
demolition project,olyphant,pa
coqui,airbonito,pr
north paseo (gn),kansas city,mo
certified area prog,boston,ma
kings college,wilkes barre,pa
central core,grand rapids,mi
neighborhood dev prog,lancaster,tx
new york sts,boston,ma
green brook,north plainfield,nj
interim asst prog,rochester,ny
neighborhood dev prog,bradford,pa
plaza,scottdale,pa
main st (gn),little falls,ny
central flood area,meriden,ct
greater laurel,laurel,ms
kinney town,lewisburg,tn
south end,boston,ma
esther short-indus pk,vancouver,wa
community renewal prog,bay city,mi
crystal no 2,crystal city,tx
buffalo valley north,schertz,tx
bryn mawr ur area,lower merion township,pa
dennison-hunter-hubbard (gn),columbus,oh
waterfront,wilmington,nc
arbor hill no 1,albany,ny
community renewal prog,canton,oh
gateway city east (gn),edinburg,tx
upper levee,saint paul,mn
main st south,fort fairfield,me
bardstown south no 1,bardstown,ky
southeast (gn),newnan,ga
interim asst prog,alice,tx
demolition project,lynn,ma
lomita,mission,tx
front st sec a,harford,ct
neigborhood dev prog,ann arbor,mi
demolition project,burlington,nj
smoky hollow ur area,tallahassee,fl
code enforcement proj,orlando,fl
john street,martins ferry,oh
code enforcement proj,pontiac,mi
model cities one,reading,pa
marina gateway,ottumwa,ia
back bay,boston,ma
interim asst prog,hanover twp,pa
mission,santa clara,ca
neighborhood dev prog,fort myers,fl
code enforcement proj,montpelier,vt
south college park (fs),college park,ga
neighborhood dev prog,salem,or
grant,minneapolis,mn
downtown area,denver,co
demonstration project,essex,md
john j grogan plaza,hoboken,nj
capitol mall riverfrnt,sacramento,ca
north tennessee,lafollette,tn
springwood ave,asbury park,nj
cole st,berlin,nh
demolition project,elmira,ny
neighborhood dev prog,auburn,al
delta area no 1,edcouch,tx
west main,kansas city,mo
interim asst prog,memphis,tn
neighborhood dev prog,san diego,ca
clinton square,syracuse,ny
riverfront-willow st,knoxville,tn
demolition project,new bedford,ma
downtown no 2,binghamton,ny
queen city no 3,mercedes,tx
code enforcement proj,fall river,ma
warnersville no 2-a,greensboro,nc
community renewal project,ithaca,ny
washingtonville (gn),mamaroneck,ny
glenview,north little rock,ar
east poplar no 1 4 5 6,philadelphia,pa
plains twp dis area,plains twp,pa
catano (open land),utuado,pr
central,blytheville,ar
general braddock plaza,braddock,pa
carnation street,tupelo,ms
central city,inkster,mi
community renewal prog,east providence,ri
claxton st,elba,al
demonstration project,indianapolis,in
code enforcement proj,philadelphia,pa
state college,montgomery,al
flat iron,manchester,nh
central bus dist (gn),rochester,ny
code enforcement proj,hillsboro,nd
curry field,canonsburg,pa
masten park (gn),buffalo,ny
code enforcement proj,trenton,nj
cherokee plaza,savannah,ga
neighborhood dev prog,springfield,il
brighton-allwood,clifton,nj
jonesville,bowling green,ky
catskill gateway no 1,monticello,ny
juana matos no 2,catano,pr
civic center,atlantic city,nj
community renewal prog,mcalester,ok
original townsite,moorhead,mn
redding midtown no 1,redding,ca
south main st,naugatuck,ct
demolition project,battle creek,mi
kimberly-north winston,winston-salem,nc
handy heights,florence,al
john fitch way no 1,trenton,nj
redevel proj no 1,norfolk,va
midtown,mount vernon,ny
community renewal prog,baton rouge,la
center city,springfield,mo
municipal center,hackensack,nj
y m y w,hazleton,pa
chanel view,albert lea,mn
south green,athens,oh
code enforcement proj,texas city,tx
southside,lumberton,nc
downtown,presque isle,me
project a,albany,ny
carnegie project,carnegie,pa
demonstration project,frankfort,ky
west clinton st,huntsville,al
neighborhood dev prog,mcgehee,ar
holland tunnel,jersey city,nj
neighborhood dev prog,mishawaka,in
lawton view no 2,lawton,ok
central area (gn),big rapids,mi
east winston no 3,winston-salem,nc
community renewal prog,asheville,nc
georgia tech,atlanta,ga
hanover twp disaster,hanover twp,pa
demolition project,kansas city,ks
downtown passaic,passaic,nj
neigborhood dev prog,waterville,me
dyer school (gn),bloomington,in
mill creek,philadelphia,pa
neighborhood dev prog,springfield,oh
project no 1,port chester,ny
community renewal prog,norman,ok
danville historical,danville,ky
east liberty,pittsburgh,pa
code enforcement proj,new brunswick,nj
fawcett,tacoma,wa
fifth st,salem,nj
u r area no 1,colorado springs,co
downtown emma,springdale,ar
elmwood park no 1,detroit,mi
delta plaza,yazoo city,ms
cemetary st,spartanburg,sc
demolition project,buffalo,ny
neighborhood dev prog,new orleaans,la
douglass school no 1,columbia,mo
neighborhood dev prog,jamestown,ny
abbott ave,waterbury,ct
seward west,minneapolis,mn
cherry hill,garden city,mi
park row,new york,ny
lafayette,detroit,mi
neighborhood dev prog,roanoke,va
valencia,juncos,pr
certified area prog,indianapolis,in
certified area prog,champign,il
parkview garden (gn),university city,mo
neighborhood dev prog,fairbanks,ak
aaronville,foley,al
brick church (fs),east orange,nj
lillian st,metter,ga
brick church,east orange,nj
houston hill,montgomery,al
altoona hospital,altoona,pa
seward south,minneapolis,mn
east end place,alton,il
neighborhood dev prog,cincinnati,oh
demolition project,norwich,ct
central city no 1,san bernardino,ca
columbia point (fs),boston,ma
wall-main,norwalk,ct
yale ave,knoxville,tn
demolition project,wheeling,wv
westbrook downtwn no 1,westbrook,me
community renewal prog,long beach,ca
riverside no 2,waco,tx
neighborhood 6,highland park,mi
code enforcement proj,ferndale,mi
downtown,las cruces,nm
certified area prog,erie,pa
redevel area no 1,greensboro,nc
neighborhood dev prog,pawtucket,ri
code enforcement proj,malden,ma
south central bus dist,wyandotte,mi
south end no 1,albany,ny
certified area prog,east saint louis,il
williamson downtwn 1,williamson,wv
longyear lake no 2,chisholm,mn
dixwell,new haven,ct
st joseph center (gn),saint joseph,mo
capital view,jefferson city,mo
code enforcement proj,durham,nc
central utica,utica,mi
park west (fs),birmingham,al
sunflower ave ur area,clarksdale,ms
washington hermitage,chicago,il
rosa verde,san antonio,tx
western hills,montgomery,al
downtown (gn),oxnard,ca
blue bird road,lebanon,tn
mohn st,swatara twp,pa
park west no 1,birmingham,al
lower falls,newton,ma
forest ave,englewood,nj
dr frank bassett,hopkinsville,ky
neighborhood dev prog,austin,tx
glacier (gn),juneau,ak
neighborhood dev prog,olathe,ks
park st,nashua,nh
downtown,chicago heights,il
south arsenal,harford,ct
south seventh st,perkasie,pa
marcus gravey park,new york,ny
neighborhood dev prog,santa rosa,ca
community renewal prog,winston-salem,nc
north green st,morganton,nc
saint anthony (gn),minneapolis,mn
sloatsburg ur area,sloatsburg,ny
rose hill ur area,versailles,ky
coopers point,camden,nj
shot tower indus park,baltimore,md
neighborhood dev prog,uniontown,al
floral island area,ithaca,ny
demonstration project,tulsa,ok
community renewal prog,fort worth,tx
community renewal prog,newport news,va
branch brook park,newark,nj
neighborhood dev prog,rockford,il
neighborhood dev prog,columbus,ga
charles creek,elizabeth city,nc
clay ave,waco,tx
shore drive,greenville,nc
kings village,philadelphia,pa
central bus dist no 1,conshohocken,pa
riverside,scranton,pa
wayman way,tarentum,pa
neighborhood dev prog,new britain,ct
project a-1,harrisburg,pa
west pine st,dunmore,pa
hahnemann,philadelphia,pa
irving,port chester,ny
downtown,johnson city,tn
riverview (gn),saint paul,mn
code enforcement proj,milwaukee,wi
south central area,new haven,ct
del carmen,quebradillas,pr
union st,easton,pa
neighborhood dev prog,atlantic city,nj
stoughton square,stoughton,ma
john fitch way,trenton,nj
code enforcement proj,lebanon,pa
university,philadelphia,pa
peralata col-chinatwn,oakland,ca
west haven,sheffield,al
yale ave (gn),knoxville,tn
south donna,donna,tx
the farm,brookline,ma
saint charles center,charles city,ia
nine mile harper,saint clair shores,mi
neighborhood dev prog,hempstead village,ny
cambria city b-1,johnstown,pa
coraopolis flood dis,coraopolis,pa
downtown,lexington,ky
community renewal prog,new boston,oh
civic center,lacrosse,wi
maline creek,kinloch,mo
code enforcement proj,springfield,ma
blinn college,brenham,tx
code enforcement proj,mescalero indian res,nm
michael reese hospital,chicago,il
ocmulgee,macon,ga
medocino gateway,willows,ca
historic preserv restr,jacksonville,or
independence mall ur area,philadelphia,pa
hook road no 3,darby twp,pa
south angus st,fresno,ca
four parks,twin falls,id
greenwood,decatur,il
university ngh,tucson,az
adams,lancaster,pa
downtown (gn),springfield,oh
minillas,san juan,pr
northside,atlantic city,nj
beacon hill no 1,decatur,ga
deberry school,springfield,ma
community renewal prog,hamtramck,mi
downtown malden,malden,ma
code enforcement proj,bloomington,il
community renewal prog,indianapolis,in
central syracuse (gn),syracuse,ny
code enforcement proj,saint paul,mn
hospital,kittanning,pa
downtown east,reading,pa
lowell street,peabudy,ma
water st,mount holly twp,nj
28th and rural,indianapolis,in
peralta area,san leandro,ca
sunoco,loiza,pr
fiesta city ctr,montevideo,mn
rehabilitation,compton,ca
community renewal prog,east saint louis,il
neighborhood dev prog,south saint paul,mn
south benwood,benwood,wv
market st no 1,farrell,pa
center square,fayetteville,ar
2nd ward-pecks add,elyria,oh
willard center no 2,providence,ri
interim asst prog,butte,mt
civic center no 1,mishawaka,in
west eight mile road,royal oak twp,mi
lee park avenue,hanover twp,pa
north side,lincoln heights,oh
community renewal prog,omaha,ne
center city,kansas city,ks
mill creek valley,saint louis,mo
downtown study (gn),salem,or
interim asst prog,waveland,ms
lorain a,lorain,oh
amistad,sinton,tx
neighborhood dev prog,huntsville,al
code enforcement proj,youngstown,oh
munjoy south,portland,me
demonstation project,new york,ny
bellevue south,new york,ny
central bus dist no 1,detroit,mi
community renewal prog,elyria,oh
central,latarobe,pa
neighborhood dev prog,monroe,nc
neighborhood dev prog,elkhart,in
cleveland,arkansas pass,tx
